69160.52	5250.65
68678.61	5403.59
68271.64	5653.42
67815.57	5859.41
67140.62	5984.41
65872.64	6022.60
64539.53	5995.94
63473.30	5911.86
62490.52	5838.85
61681.56	5704.24
60347.70	5561.68
59261.45	5404.35
58471.68	5239.02
56518.34	5107.83
55750.50	4927.69
55029.34	4766.22
54478.42	4636.58
54014.23	4411.56
54354.85	4339.39
54249.39	4253.76
53820.33	4146.41
53158.41	4124.32
52295.60	4085.60
51238.50	3980.70
50381.40	3827.93
49281.20	3593.70
48759.10	3317.90
48727.90	3151.90
48590.10	2930.20
47822.07	2805.10
47403.07	2590.30
44917.20	2357.10
44375.91	2141.50
44403.00	1999.30
44225.80	1930.60
44035.93	1775.80
44453.00	1739.80
44644.07	1659.80
44176.87	1513.40
44573.80	1334.90
44888.07	1269.40
45003.13	1086.30
69160.52	5250.65
68678.61	5403.59
68271.64	5653.42
67815.57	5859.41
67140.62	5984.41
65872.64	6022.60
64539.53	5995.94
63473.30	5911.86
62490.52	5838.85
61681.56	5704.24
60347.70	5561.68
59261.45	5404.35
58471.68	5239.02
56518.34	5107.83
55750.50	4927.69
55029.34	4766.22
54478.42	4636.58
54014.23	4411.56
54354.85	4339.39
54249.39	4253.76
53820.33	4146.41
53158.41	4124.32
52295.60	4085.60
51238.50	3980.70
50381.40	3827.93
49281.20	3593.70
48759.10	3317.90
48727.90	3151.90
48590.10	2930.20
47822.07	2805.10
47403.07	2590.30
44917.20	2357.10
44375.91	2141.50
44403.00	1999.30
44225.80	1930.60
44035.93	1775.80
44453.00	1739.80
44644.07	1659.80
44176.87	1513.40
44573.80	1334.90
44888.07	1269.40
45003.13	1086.30
69160.52	5250.65
68678.61	5403.59
68271.64	5653.42
67815.57	5859.41
67140.62	5984.41
65872.64	6022.60
64539.53	5995.94
63473.30	5911.86
62490.52	5838.85
61681.56	5704.24
60347.70	5561.68
59261.45	5404.35
58471.68	5239.02
56518.34	5107.83
55750.50	4927.69


